article;lang
Basically you have a dream of not being able to control things;cypr
Projecting pulling string symbolize how you want to control things in;cypr
life;cypr
 po poooooo psychology 101 ;cypr
 im impressed;cypr
 ναι την ξερω αυτη την κλωστη την;cypr
μαυρη την καταματωμενη μας τρωει τα;cypr
σωθηκα και ολη μας την ζηση την εβγαλες;cypr
ομως δες την καταματα και ξορκισε;cypr
την μην κρατησεις τιποτα ουτε τα;cypr
καλα γιατι ολα πονανε και ολα στο τελος;cypr
ματωνουν πατα γερα και δες το νεο;cypr
φως ενα φως που δεν θα το δενει καμια;cypr
κλωστη αχνο στην αρχη εστω το φως στο;cypr
κομπιουτερ αλλα καθαρο φως χωρις;cypr
σκιες ΣΗΚΩ ΚΡΑΤΑ ΓΕΡΑ;cypr
 po pooo ευχαριστώ για την συμπαράσταση im;cypr
ok though this is something i imagined ;cypr
 The power of Christ compels you The power of Christ compels you The;cypr
power of Christ compels you The power of Christ compels you The power;cypr
of Christ compels you The power of Christ compels you The power of;cypr
Christ compels you ;cypr
 προσπαθώ να κάμω το κεφάλι μου να;cypr
γυρίσει 360 μοίρες αλλά τίποτε εν;cypr
γίνετε ;cypr
 saw 3549846548 the trailer;cypr
 am i that un original pfffft;cypr
 οκ εν πολλά πρωί για κλωστές που;cypr
μπήεις τα χέρια σου μες το στόμα σου να;cypr
τες τραβήσεις;cypr
 με τραβάς κλωστές words come out και χωρίς;cypr
να χώσεις τα χέρια σου στο βάθος του;cypr
οισοφάγου να τες φκάλεις αν και οι;cypr
λέξεις δεν βγαίνουν απο το οισοφάγο;cypr
 ναι είμαι εκτός θέματος ξέρω το;cypr
 mporo na po ise arketa entos thematos to thema ine oti fkenoun;cypr
merikes fores efkola merikes fores diskola ;cypr
 Αν ηταν να γραψω κατι παρομοιο για;cypr
μενα στις περιπτωσεις που φκαινουν τα;cypr
λογια δυσκολα θα ηταν υπο τυπον εμετου;cypr
χαχα Ρ;cypr
 oh lala υπό τύπον πητιτού εμετού εν μου;cypr
φαίνεται πολλά δύσκολο πάντως εν θα;cypr
ήταν ωραίο ποστ όι πως το δικό μου;cypr
ένναιν ψιλοαηδιαστικό αλλά well its not emetoi;cypr
 λοιπον στα θεατρικα μονοπρακτα το;cypr
τρεμοπαιξιμο του φωτος σημαινει παντα;cypr
θανατο απο ψυχολογια και τα σχετικα δε;cypr
σκαμπαζω;cypr
 pffffft λαλείς να επέθανα και να μεν μου;cypr
το είπασιν νοοοοοοοοοο ;cypr
 χεχε χτύπα ξύλο Απλά να συνεισφέρω σε;cypr
όλο αυτό ήθελα ;cypr
 Νομίζω εν πρώτες βοήθειες που έπρεπε;cypr
να πάεις Όι να ανοιξεις το λάπτοπ;cypr
 Επίσης ποιά κλωστή;cypr
εν τόσο δύσκολο να φκεί που πρέπει να;cypr
καταστρέψεις τα σωθικά σου για να την;cypr
φκάλεις έξω αλλα τόσο σημαντική που;cypr
πρέπει ντέ και καλά να φκεί Hmmmm;cypr
 Something or someone that has to go;cypr
 Something that needs to be said;cypr
 it s about myself discovering myself ;cypr
 ah The hardest discovery of them all ;cypr
 re jai egw etsi pathainw prin anoiksw to laptop laleis na en;cypr
kollitiko na men sou grafw comments sto blog tote ampa jai pathoume;cypr
shirottera;cypr
 oh no we sat upon αν συνεχίσουμε το κκομμεντινγκ;cypr
άι θινκ;cypr
 Τουτο το blog είναι όπως την μοντέρνα;cypr
τέχνη Εν καταλάβω χριστοπαναγία;cypr
 Try Me ;cypr
 χαχα ετρίτωσεν το κακό P;cypr
 now i believe in god άμαν άφηκε κκόμμεντ το;cypr
άγιο πνέυμα D;cypr
 γραφεις παρα πολλα ωραια αληθκεια;cypr
εν τελιο;cypr
 5;cypr
Άτομα 20 χρονών και πάνω που τραγουδούν;cypr
το Χριστούγεννα χριστούγεννα;cypr
ευτυχισμένα δεν γίνονται δεν γίνονται;cypr
χωρίς εσένα και εννοούν;cypr
 Dude by now έπρεπε να αντιληφθείς ότι;cypr
 1 its just a holiday και;cypr
 2 πρέπει να περνάς και μόνος η σου;cypr
 μα αρεσκει μου τουτη η στηλη πολλα;cypr
ανετα εκαμνα την τζιε εγω;cypr
 καλημέραααα μα είδες τι στήλη;cypr
πολλούς που εκφράζει τελικά ;cypr
 omg molis esiniditopoihsa oti otan eprotokukloforhse auto to;cypr
tragoudi epiena akoma sxoleio pantos akoua to mono en to tragoudhsa pote;cypr
mou exiases ekeino ths maraia carey p mou diafeugei o titlos p kathe;cypr
xrono vkalei to se diaforetikh version en evarethke akoma;cypr
 ναι και γω σχολείο επήεννα και;cypr
ετραγούδουν το για το αμόρε που έκαμνε;cypr
χριστούγεννα στα χωρκά του i know i know ήταν;cypr
tragic λες για το all i want for christmas κείνο κι αν;cypr
είναι εμετικό ;cypr
 here take this;cypr
 hphotos ak ash4 484190_10152285331535478_820785429_n jpg;cypr
 zileukeis tous a ela paradextou to xa xa xa;cypr
 αμάναμου και τραγουδάς το έλα;cypr
παραδέκτου το ;cypr
 ksipnw joimoumai en touto pou lalw jai taxa esheis jai fans tis;cypr
stilis sou egw pantws parakolouthw tin mono gia na se kistisw ;cypr
 ma ides exo fans tis stilis m ego kai i Carrie Bradshaw ;cypr
 kista me k sonno;cypr
 kista ki allo tha t antejo den petheno etsi apla tha palepso;cypr
 ides empnefseis i ora 1 15 to proi;cypr
 Κατι σιγουρα παει χ με τον τιτλο σου;cypr
συντακτικα αλλα ακομα να το εβρω Στα;cypr
αγγλικα νομιζω θα ηταν people the world would be;cypr
better off without Οσο για τα ατομα αστον τρελο;cypr
στην τρελα του;cypr
 χαχα τζαι εγώ το εσκέφτηκα;cypr
Συγκεκριμένα κάτι πάει λάθος τζαμέ στο;cypr
 τα οποία ο κόσμος;cypr
 Ισως μια καλύτερη συντακτικά επιλογή;cypr
θα ήταν το Άτομα δια την;cypr
απουσία των οποίων ο κόσμος θα ήταν;cypr
καλύτερος ;cypr
 No hard feelings Rosalin Έχει χάζι το μπλοκ σου;cypr
 με την καλή έννοια;cypr
 anonimi os 1 ότι κάτι σίουρα πάει χ με τον;cypr
τίτλο μου ξέρω το αλλά άτε who gives a fuck για;cypr
το συντακτικό αν με διαβάσεις θα δεις;cypr
ότι όχι εγώ P;cypr
 anonimi os 2 no hard feelings darling no sword coming out for you;cypr
 eipan se agrammati jai katapies to eginikes polla;cypr
softie teleutaia toutos o cavalieros en bad influence ;cypr
 Οντως Επεριμενα την ππαλα τοσην ωρα;cypr
και εν εφανικεν Χαχα ;cypr
 ενα με θελει ο τιτλος τζε εσαστειν ;cypr
 ufu lale mou tethkia re dagger k pao na tou kopso tin kefali t P;cypr
aseeeee k inta jero ;cypr
 i ppala en fkeni etsi meres kamno dialimma;cypr
 en ime agrammati ekfrazoume me to diko m tropo P;cypr
 So true;cypr
 hehe ;cypr
 Μεν είσαι τόσο judgemental;cypr
 Ο κόσμος εν μια χαρά τζιαι με τούτα τα;cypr
άτομα;cypr
 respect Rosalin;cypr
 re exi kero p thelo na s grapso ;cypr
 pertitzi mou mitsostomo p perpatas klamontas hehe;cypr
 ta filia m stes agglies;cypr
 ΟΙ ΤΖΕ ΚΛΑΜΟΝΤΑΣ ΝΑΚΚΟΝ ΚΛΑΨΟΜΟΥΝΗΣ;cypr
ΕΙΜΑΙ ΩΡΑ ΩΡΑ ΑΛΛΑ ΑΜΑΝ ΜΕ ΠΙΑΝ ΟΙ;cypr
ΚΡΙΣΕΙΣ ΜΟΥ ΜΟΝΟ ;cypr
 haha k ipa s oti ise klapsomounnis re apla to name s thimizi m to;cypr
asma tis kiriakous D;cypr
 I totally feel you Totally;cypr
 Και;cypr
έτσι για να το κάμω επιτέλους και;cypr
άρκησα;cypr
 Πρασινάδα it was a lovely game we played Θα σου;cypr
περνά πολλά αν γίνεις καθηγήτρια;cypr
 Σου εύχομαι καλή υπομονή στην Κύπρο;cypr
και καλούς συμβιβασμούς Τες παραπάνω;cypr
ώρες αξίζουν οι θυσίες για τον τόπο;cypr
 Καλές Διακοπές;cypr
 Τούτο εν ένα βίντεο που έβλεπα συχνά;cypr
όταν ήμουν εχτός και έπιαννε με το home sick;cypr
επίσης έδειξα το ούτε και γω σε πόσους;cypr
ξένους πρήζοντας τους;cypr
 Και διώ σου το δώρο να το θωρείς άμαν;cypr
σικκηρτάς;cypr
 xronia sou polla jai as men ta giortazeis giortazoumen ta emeis gia;cypr
sena filia polla;cypr
 filiaaaaaaa xxx;cypr
 Και γιατι δε γιορταζουμε σ αυτο το;cypr
μπλογκ;cypr
 cause we dont care ;cypr
 Χρόνια Πολλά τζαι σε ευχαριστώ πολύ;cypr
Ροζαλίν Ό τι καλυτερο τζαι σε σένα;cypr
 Υ Γ Χου κέαρς αν εν Χμας ή αν πιστευκουμε;cypr
ή όχι τζαι εμένα ποσώς με ενδιαφέρει;cypr
το θρησκευτικό παρτ Απλά εν οικογενειακές;cypr
στιγμές τζαι εν τούτο που μετρά οκέι;cypr
τζαι το φαί;cypr
 η πρασιναδα εχει απολυτο δικαιο ιδιως;cypr
για το φαγητο ομως beadrix μου θα σου πω και;cypr
κατι η χαρα για τις οποιες γιορτες δεν;cypr
ειναι αυτοβουλη πρεπει να βγαιννει;cypr
αβιαστα απο μεσα μας και για να βγει και;cypr
να τις ζησουμε πρεπει οπως σου ειπα;cypr
ξανα η ψυχη μας να ειναι αναλαφρη να μην;cypr
εχει κανενα βαρος και καμια σκια και;cypr
τοτε θα δεις πως οι οποιες γιορτες θα;cypr
ειναι παντα καλοδεχουμενες ουτε εγω;cypr
φετος γιορτασα εχω ενα βαρος στην ψυχη;cypr
που με σκοτωνει χρονια καλα ;cypr
 xronia polla ;cypr
 Κάθομαι;cypr
εδώ στα σκοτεινά Ακονίζω το σπαθί μου;cypr
αργά και με προσοχή περνώ το χέρι μου;cypr
από την αιχμηρή λεπίδα Ακονίζω ξανά και;cypr
ξανά όλο και πιο γρήγορα και τότε;cypr
δόνηση Δόνηση την νιώθω στην κοιλιακή;cypr
χώρα Βάζω το χέρι στην τσέπη του φούτερ;cypr
μου just ignore the fact ότι εν έχω φούτερ και;cypr
νιώθω αυτό το ορθογώνιο μαυριδερό;cypr
πράγμα Τραβώ απαλά στην αρχή και μετά;cypr
πιο δυνατά βρίζοντας από μέσα μου Και;cypr
τότε πετάγεται έξω από την τσέπη μου και;cypr
το βλέπω στο φως να στριφογυρίζει στο;cypr
πάτωμα;cypr
 Γαμώτο αν ξαναππέσει χαμέ;cypr
θα μου σπάσει σκέφτηκα στον;cypr
εαυτό μου;cypr
 Το αρπάζω πριν σταματήσει να δονείται;cypr
Απαντώ το μαυριδερό γυαλιστερό;cypr
τηλέφωνο;cypr
 Χαλλόουυυυυυυυ κόρη Rosalin;cypr
έσhιεις δουλειά;cypr
 Έλα λέω υποχθόνια;cypr
γέρνω το κεφάλι μου και κρέμμουνται τα;cypr
μαλλιά μου μες τα μούτρα μου enter;cypr
 I m a fucking warrior mode;cypr
 Είσαι busy οξά να σου;cypr
πω;cypr
 Αναστενάζω για να δείξω ότι είμαι busy;cypr
και καλά και λέω;cypr
 Πε μου;cypr
 Έχουμεν ένα πουλλί δαμέ;cypr
επιάμεν το πόξω που το αεροδρόμιο ήταν;cypr
πολλά υπερκινιτικό και που τον;cypr
ενθουσιασμό έδωκεν μες το λάστιχα μας;cypr
και θέλουμεν να το φάμε έλα να μας το;cypr
κόψεις με το σπαθί σου;cypr
 Επεράσαν 1000 πράματα που τον νου μου;cypr
πόθεν στα πόθεν ένα πουλλί να εν;cypr
χαρούμενο και ενθουσιασμένο Τι;cypr
γυρεύκει στο αεροδρόμιο Γιατί εν;cypr
μπορούν να το κόψουν μόνοι τους Τι;cypr
συνταγή ήβραν να το μαειρέψουν Αλλά για;cypr
χάρη της ιστορίας εδέκτηκα τα ούλλα;cypr
 Μπήκα στο rosalinmobile και κατευθύνθηκα;cypr
προς το σπίτι τους Άνοιξα την πόρτα και;cypr
στάθηκα καθώς ο αέρας παράσερνε το;cypr
μαλλιά μου και η φιγούρα μου έκοβε τις;cypr
ακτίνες του φωτός που όρμησαν μέσα Η;cypr
λάμα του σπαθιού μου λαμποκόπησε καθώς;cypr
προχώρησα και είδα το πουλλί ππεσούμενο;cypr
πάνω στο τραπέζι;cypr
 Μόλις τον είδα εκοπήκαν τα πόθκια μου;cypr
τα νευρικά μου κύτταρα εμουδιάσαν οι;cypr
μύες μου εσφίξαν και από το λαρύγγι μου;cypr
βγήκε μια;cypr
 κλωστή φωνή;cypr
 Πού τον ήβρετε τούτον;cypr
εφώναξα και έγυρα πάνω του Ήταν;cypr
ολογιαίματος παντού αίμα;cypr
 Περτίτjι Περτίτjι Περτίτjι Περτίτjι;cypr
μου μιτσόστομοοοοοοοοοοοοο;cypr
εφώναζα καθώς τον εσουζούλιζα πέρκει;cypr
συνέλθει Τίποτε;cypr
 Εκράτουν τον σφιχτά ένιωθα τον παλμό;cypr
του να χαμηλώνει και εν ήξερα τι να κάμω;cypr
Οι άλλοι μες το σπίτι εμάχουνταν όι να;cypr
τον καμουν σούππα όι στην κατσαρόλα με;cypr
δάφνη όι πας τα κάρβουνα;cypr
 Σηκώνουμε ίσhια πάνω και λαλώ;cypr
 Αν δεν σκάσετε ούλλοι εννά;cypr
σας σφάξω;cypr
 Έκατσα τjιαμέ δίπλα του και έτσι;cypr
επαρακάλεσα που μέσα μου να μπόρω να;cypr
κάμω κάτι να τον σώσω Μεν σου πω εγέμωσε;cypr
το ένα μου το μμάτι δάκρυα;cypr
 Και ξαφνικά ακούω ένα κρακ Αντινάσσουμε;cypr
και θωρώ γυρώ μου Μες την γωνιά είδα ένα;cypr
πλάσμα Κοντέφκω και ππιριλλώνουν τα;cypr
μάθκια μου Εν το πιστεύκω εν γίνεται;cypr
εν δυνατόν;cypr
 Χαρρυ;cypr
 Geia sou Rosalin είπε;cypr
ορμώντας στο Περτίτjι μιλώντας;cypr
τσhιάρλικα ελληνικά den ehumen ora tha;cypr
prepi na ton iatrepso mu echi dosi ena filtro i Ermioni pu tha kami to;cypr
Pertitjin perdiki;cypr
 Εσήκωσε του το κεφάλι του άνοιξε του;cypr
το στόμα του και εσhιόνωσεν του μέσα ένα;cypr
υγρό που εμύριζε μανιταρίλα με;cypr
σουβλακίλα και ελαφρά ποδαρίλα Το;cypr
Περτιτjι εστυλλομάθκιασε και άρκεψε να;cypr
βέχχει Ανασηκώθηκε και άνοιξεν τα;cypr
μμάθκια του Και έμεινεν με το στόμαν;cypr
ανοιχτό που την μια εγώ που την άλλη ο;cypr
Harry Potter;cypr
 Ποτjιεί ποδά εξηγήσαμεν του Πέρτικου;cypr
τι έγινε ο Πέρτικος εμάννεψε πας τον;cypr
κεραυνό του Harry;cypr
 O Harry έπρεπε να φύει έδωκε details του;cypr
Πέρτικου όταν θα πάει πίσω Αγγλία να;cypr
κανονίσουν να βρεθούν και με την;cypr
Ερμιόνη και τον Ρον είπε μας Chareka;cypr
gia tin gnorimia και εξαφανίστηκεν με;cypr
ένα κρακ;cypr
 Οπότε Περτίτjι μου μα δε ίντα δώρα σου;cypr
έκαμα 1ον έσωσα σου την ζωή σου όι;cypr
παίζουμεν Και 2ον εγνώρισες τον Harry Potter;cypr
Οπότε αγαπητό μου Περτίτjι είμαι ο Secret;cypr
Santa σου χε χε χε;cypr
 Επίσης τελευταίο και 3ον δώρο σαν τα;cypr
δώρα του χριστού ένα πράμα που ήταν 3;cypr
από τους 3 μαγους ε ρε μάνα μου έχεις ένα;cypr
Free Rescue Cart από την θεία σου την Rosalin Άμα;cypr
έχεις κανένα problem που δεν λύνεται φώναξε;cypr
με να το κόψω Επδ ότι δεν λύνεται;cypr
κόβεται;cypr
 ΥΓ Περτικούδιν ξέρω και καταλαβαίνω;cypr
πόσο δύσκολο είναι να βρέθεσε μόνος σου;cypr
σε μια ξένη χώρα Αλλά τούτα τα πράματα;cypr
πρέπει να καταλάβεις ότι εν ευλογία Ας;cypr
πούμεν πεθυμάς το σπίτι σου επειδή οι;cypr
γονείς σου εστείλαν σε να σπουδάσεις να;cypr
μορφωθείς και εννά μου πεις Ατε;cypr
ρε Rosalin πλέον οι σπουδές εν και είναι;cypr
εισητήριο για την επιτυχία Όι;cypr
Πέρτικε ένναιν εισητήριο Αλλά εσύ;cypr
παίρνεις και άλλη μόρφωση εκεί στα ξένα;cypr
Μεγαλώνεις αναλαβάνεις ευθύνες πίσσει;cypr
ο νους σου και ειδικά στην Αγγλία;cypr
οργανώνεσε μαθαίνεις να λειτουργείς με;cypr
ένα τρόπο διαφορετικό που τον traditional;cypr
κυπριακό Θωρείς άλλους ανθρώπους;cypr
άλλους τόπους απόλαυσε τες σπουδές σου;cypr
Περτίτjι επειδή τελιώνουν μεν κάμεις;cypr
ένα χρόνο να συνηθίσεις και μετά που;cypr
μαθαίνεις να περνάς καλά να εν καιρός;cypr
που θα στραφείς;cypr
 αχαχαχαχαχα τέλειο Merry Xmas dude;cypr
 and a happy new year mate ho ho ho ;cypr
 Πολλά ωραίο το δώρο Χρόνια πολλά;cypr
 kai kalaaaaaa ;cypr
 Πιιιι μα ούτε εσύ είσαι ο Σάντα μου;cypr
Ούφφφου πκιόν Συναγωνίζεσαι τον;cypr
Ινβίκτους στη φαντασία πάντως Από που η;cypr
σπάθα είπαμε;cypr
 apo ton hanzo hatori hanzo the one P;cypr
 oute go ime i santa sou psaje psaje kai tha ton bris pantos agnoite;cypr
kai o dikos m;cypr
 Έshει κάτι μπλόγκερς με μια φαντασία;cypr
όμως;cypr
 Άπλετη Πονηρή Άνευ ορίων Άνω;cypr
ποταμών ;cypr
 gia poion en pou lalumen pe te mou k menaaaa P;cypr
 Πώς τα λέεις πώς τα λέεις Ωραία ρε;cypr
Μπέα ήταν να γράψω τζαι για κάτι;cypr
ορθογραφικά αλλά σιωπώ;cypr
 ΟΡΘΟΓΡΑΦΙΚΑ ΠΟΥ ΕΙΔΕΣ ΟΡΘΟΓΡΑΦΙΚΑ;cypr
ΤΙΠΟΤΕ ΣΙΟΠΗΝ ;cypr
 nta akoma ediorthosa kai kamposa na s po ama mou erkete i empneusi en;cypr
exo stamatimo so grafo ta opos opos na men ta xaso e meta katse evre ta;cypr
 ΧΑΧΑΧΑΧΑΧΑ;cypr
 εν θα το πω του πετριτζιού για να;cypr
γυρέψει κάμποσο;cypr
 εν να χαρεί πολλά πάντος εν τέλιο το;cypr
ποστ σου Εσυρες με χαμέ που την καρέκλα;cypr
τζε εγέλουν όπως τον υστερικόν ΡΩΤΑ ΤΟΝ;cypr
ΝΤΡΗΜΕΡ;cypr
 To the rosalinmobile;cypr
 D gia s re pezunin ma p ehathike toutos exi toses meres;cypr
enthousiastika p m ipe i prasinada kai toutos en xasimios;cypr
tsk ;cypr
 elpizo na men xtipises e e e;cypr
 geia s dreameeeeer xxx;cypr
 Ωραία η ιστορία μα τζαι η τελευταία;cypr
παράγραφος δεν πάει πίσω Τυχερό το;cypr
περτίτζι έπιασε τις καλύτερες συμβουλές;cypr
Καλές γιορτές και στους δυό σας;cypr
 kales giorteeeeeeees aenimaaaaaa ;cypr
 Καλά Χριστούγεννα και στους δυό σας;cypr
Κανένα αυτόγραφο από τον Xarry παίζει ή;cypr
το ξεχάσατε μέσα στον πανικό;cypr
 e tora afou enna pan k gia kafe k pooulla enna mas stili;cypr
 xronia polla;cypr
 χαχαχα τέλειο στην αρχή εσυγχύστηκα;cypr
λαλώ για να νεκατώνει τον harry potter μάλλον;cypr
εν η secret santa της Μαριλού;cypr
 rosalinmobile θεικό εν όπως το batmobile;cypr
 oi oi mine is even cooler P;cypr
 nai imasten polloi oi fan tou harry potter telika;cypr
 xa xa xa ma oute esi eisai o santa mou ftouuuuuuuuuuuuu ate;cypr
pale pou tin arkin;cypr
 en ime thelis doro anw na s doko k sena mian kartou oja kanonizi;cypr
ta provlimatas o kill xxxxx;cypr
 αχχαχαχα;cypr
 Εν επεριμενα τιποτε λλιοτερο Αιμα;cypr
δακρυα τζαι δωρα;cypr
 Ατε Περτιτζι Εκαμες την ματσιν;cypr
 GROUTA en kallyteros o titlos o dikos s ftouuuuuu ;cypr
 πολλά ωραίο τζαι το υγ εσυγκίνησεν;cypr
με ελπίζω να συγκινήσει τζαι το;cypr
περτίτζι;cypr
 e an ajiothi k mpi k di to na doume p girizi ;cypr
 Δεν ειναι περιοδος κυνηγιου;cypr
τωρα;cypr
 χαχα λαλείς να εν γιαυτό που χάθηκε;cypr
χώνεται ;cypr
 Πολύ ωραίο;cypr
 χαχαχχααχ άψογο;cypr
 Harry Potter και η διάσωση του Περτιτζιού;cypr
 Σύντομα στους κινηματογράφους;cypr
 θα σας δούμε όλους στο red carpet ;cypr
 Exathika eniksero tipote o;cypr
 Υπερπαραγωγη Βεατριξ;cypr
 Περτικούδιν ποιος σε πιάνει Με έτσι;cypr
Σαντα εν φοάσαι τίποτε;cypr
 Μαιρη Χμας;cypr
 Μαιρη Η σύζυγος του Νέου Χρόνου ;cypr
 χρόνια πολλά;cypr
 Rosalin έφαες και τον James Bond μάνα μου;cypr
Υπερπαραγωγή;cypr
 xronia polla ;cypr
 Rosalin ειμαι κατενθουσιασμενος εν το;cypr
πιο απαιχτο τελειο ποστ εισαι φακινγκ;cypr
αμεηζινγκ γαμωτο Τζε ο χαρρυ εν ο;cypr
παιδικος μου ηρωας εν θυμουμε αν το;cypr
αναφερα ποττε στο μπλογκ αλλα ειμαι;cypr
πολλα φανατικος χαχαχαχ ειναι ΤΕΛΕΙΟ;cypr
ΤΕΛΕΙΟ ΤΕΛΕΙΟ;cypr
 εδιαβαζα το τζε εφυρνουμουν του;cypr
γελιου καθε δευτερολεπτο τζε οσες;cypr
φορες το ξαναδιαβαζω γελω αφανταστα;cypr
 Ευχαριστω πολλα Εισαι ο τελειος μου;cypr
σικρετ σαντα;cypr
 σορρυ ηρτα που τες αγγλιες τζε ειμαι;cypr
με οξεια φαρυγγιτιδα γι αυτο εν το ειδα;cypr
εχτες ειμαι χαππακωμενος;cypr
 ΕΥΧΑΡΙΣΤΩ ΠΟΛΛΛΥΥΥ;cypr
 kapou ixes pei gia ton harry potter k thimoumoun se kapoio comment i;cypr
think ;cypr
 just tell the truth dude επείραξεν σε το φιλτρο;cypr
του χάρρυ και εκρεβατώθηκες φαρυγγίτιδα;cypr
μίσhιμου P περαστικα;cypr
 καλές γιορτές;cypr
 λαλεις εφκαριστω που με εωσες κορη;cypr
νασε καλα ;cypr
 τζε τες συμβουλες σου θα τες λαβω;cypr
σοβαρα υποψη γιατι κατι ξερεις εσυ;cypr
 η rescue card γιατι εχει ημερομηνια ληξης;cypr
μπορει να την χρειαστω πιο μετα εν;cypr
θαρτεις να με σωσεις παλε;cypr
 Τα φιλια μου;cypr
 Ε εβαλά τηνημερομηνία για γραφειοκρατικούς;cypr
λόγους ;cypr
 εννά σου την ανανεώσω αλλά χρησιμοποια;cypr
την πριν γεράσω καο εν μπορώ να τραβήσω;cypr
σπαθί P;cypr
 αχα ωραια γιατι προς στιγμη;cypr
ανησυχησα p;cypr
 εν μπορω ακομα διαβαζω το και γελω;cypr
αι λαβ γιου rosalin;cypr
 elpizo na egianes xxx;cypr
 ΓΡΑΦΕΙΣ ΤΕΛΙΑ ΕΝΙΜΠΟΡΩ ΤΥΧΕΡΟ;cypr
ΠΕΡΤΙΚΟΥΔΙΝ;cypr
 Στην;cypr
δουλειά έχουμε dress code Ακόμα και η;cypr
εμφάνιση εν μάρκετινγκ για τον boss μας;cypr
Μπορώ να πω εκ πείρας ότι έχει δίκαιο;cypr
Οπότε είμαι αναγκασμένη να είμαι;cypr
ντυμένη κοκέττα και σε τακούνια όση ώρα;cypr
είμαι δουλειά άλλο που δεν θέλω δηλαδή;cypr
καταπιέζουμε φρικτά λέμε Αλλά υπάρχει;cypr
το όριο ο κανόνας άλλο κοκέττα άλλο;cypr
ΣΕΞΥ Οπότε αποφεύγουμε ντεκολτέ;cypr
κολλητά κοντά και ότι μπορεί να;cypr
προκαλέσει είμαστε σεμνοί το δίχως;cypr
άλλο;cypr
 Πιάννει με ο boss τηλέφωνο;cypr
 Rosalin ακύρωσε ότι έχεις για;cypr
την Τετάρτη πάεις σεμινάριο;cypr
 Ναι με τον boss έχουμε αυτή τη σχέση εν;cypr
πάνα πνίεσαι εν πάνα υποσχέθηκες deadlines;cypr
εν πάνα έχεις 300 projects πας την τjιεφαλή;cypr
σου he obviously doesnt give a fuck And when he says jump what else;cypr
can you do;cypr
 Οπότε και έρκετε η μέρα που θα;cypr
πήγαινα στο σεμινάριο Καταπληκτικό το;cypr
σεμινάριο τι να λέμε Βουρούμε τα;cypr
σεμινάρια όπου τα περισσότερα είναι;cypr
μπόρινγκ αλλά ουσιώδη στο να κάμεις;cypr
κκονέκτιονς και να δικτυωθείς Πάω που;cypr
λαλείτε στον χώρο του σεμιναρίου;cypr
Μπαίνω μέσα ττοκκάρω ποτjιεί ποδά;cypr
κάθουμε σε μια θέση αρκέφκει το πίρρι;cypr
πίρρι Κάθουνται και οι άλλοι Ξεκινούμε;cypr
να μιλούμε ένας ένας Έρκετε η σειρά μου;cypr
Πολύ απλά λέω Είμαι η Rosalin Moreau;cypr
από την εταιρεία μπλα μπλα κάνω αυτό;cypr
ειδικευόμαστε σε αυτά Κάμνω hi 5;cypr
του εαυτού μου για την άνεση μου τούτη;cypr
που απέκτησα no αγχος no problem αν θέλεις;cypr
σηκώνουμε και κάμνω και την παρουσίαση;cypr
άμα λάχει Τι εννοείς εν θα ξέρω το θέμα;cypr
Γιατί έχει πολλούς που ξέρουν το θέμα;cypr
μες τούτο τον τόπο Και μπορώ να σε κάμω;cypr
να πιστέψεις ότι ξέρω το θέμα Ok I m done με;cypr
τον αυτοθαυμασμό;cypr
 Δίπλα μου κάθετε ένας κοντούδης;cypr
ησυχούδης ξέρετε το θέμα μου με το ύψος;cypr
αν δεν μου έχει 10 πόντους διαφορά εν;cypr
μπορώ να τον δω σαν άντρα Εν κάτι σαν;cypr
παρουσία ένα άτομο ενδιαφέρον ή όχι;cypr
πάντως σίουρα εν τον βλέπω σαν άντρα;cypr
Ενηγουέη έγυρα εγώ μπροστά και με την;cypr
άκρη του μμαθκιού μου θωρώ τον που;cypr
χάσκει προς το μέρος μου Γύρνω πίσω;cypr
σταυρώνω τα χέρια μου και γυρίζω κάπως;cypr
προς το μέρος του Ισhια αντελλοσhιάζεται;cypr
και θωρεί μπροστά του Εν έδωκα σημασία;cypr
και συνέχισα να παρακαλουθώ τον;cypr
ομιλητή Ύστερα έπρεπε να μιλήσουμε;cypr
τέσσερις τέσσερις σαν workout Και ο δικός;cypr
σου να με θωρεί σαν τον σβουμ κάτω από;cypr
τον λαιμό κάτω από τους ώμους πάνω από;cypr
την κοιλιά Ναι κατευθείαν στα βυζιά;cypr
Γυρίζω και δω να δω αν έχω τίποτε Αν;cypr
εσhιώνοσα τίποτε και εν επήρα είδηση;cypr
Τίποτε με τάτσα με σταξhια Όλα στη θέση;cypr
τους δεν εφκήκε κανένα βυζί πόψω και να;cypr
είμαι εκτεθιμένη η μπλούζα δεν είναι;cypr
si throu Καταλαβαίνει ότι καταλαβαίνω και;cypr
αντινάσσεται Μιλούμε οι υπόλοιποι της;cypr
ομάδας εν οκ ο δικός σου εν μπορεί να;cypr
πάρει τα μμάθκια του Θωρεί με μάτια βυζιά;cypr
με εναλλαγές κάθε χιλιοστό του;cypr
δευτερολέπτου;cypr
 Τέλεια σκέφτουμαι;cypr
 που να ρυάσω τι έχει να;cypr
γίνει;cypr
 Απέκτησα και τούτην την έννοια μεν;cypr
κρυώσω και ο κοντος εν θα συνάετε με;cypr
τίποτε Να μιλώ και να με θωρεί να;cypr
κινούμε και να καρφώνεται σάννα και εν;cypr
εξαναείδεν ο νηστικός ρε κουμπάρε Δε τα;cypr
